Advertisement,Advertisement No,Advertisement Date,Location,Price,Gross Area,Net Area,Age,Room,Floor,Heating,Furnished,House URL
EVRE2 GEDIZLERDE ZOR BULUNUR 4+1 MÜKEMMEL DAIRE,Portföy No: P76157208,02-13-2025,İstanbul Anadolu / Sancaktepe/ Abdurrahmangazi Mah.,19.000.000 ₺,216,180,9,4+1,11,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P76157208
PENDİK KAVAKPINAR ÇAMÇEŞME MAH 2+1 MASRAFSIZ DAİRE,Portföy No: P04155436,02-13-2025,İstanbul Anadolu / Pendik/ Çamçeşme Mah.,2.085.000 ₺,100,85,21-25,2+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P04155436
ERENKÖY'DE ETHEM EFENDI CADDESINDE 3+1 KULLANIŞLI SATILIK DAIRE,Portföy No: P75525148,02-13-2025,İstanbul Anadolu / Kadıköy/ Erenköy Mah.,18.000.000 ₺,115,95,1,3+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P75525148
ERENKÖY'DE ETHEM EFENDI CADDESINDE 2+1 KULLANIŞLI SATILIK DAIRE,Portföy No: P60366584,02-13-2025,İstanbul Anadolu / Kadıköy/ Erenköy Mah.,15.000.000 ₺,95,70,1,2+1,8,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P60366584
UPHILL COURT B ADA 3+1 KİRACISIZ SATILIK,Portföy No: P87676028,02-13-2025,İstanbul Anadolu / Ataşehir/ Barbaros Mah.,16.900.000 ₺,125,95,16-20,3+1,22,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P87676028
Kartal Petroliş'de 2+1 Boş Satılık,Portföy No: P40615801,02-13-2025,İstanbul Anadolu / Kartal/ Petrol iş Mah.,6.450.000 ₺,75,55,1,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P40615801
SELİMİYE ÇİÇEKÇİ'DE YATIRIMLIK 3+1 SATILIK DAİRE,Portföy No: P37255845,02-13-2025,İstanbul Anadolu / Üsküdar/ Selimiye Mah.,7.700.000 ₺,140,120,30+,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P37255845
"MALTEPE'DE SAHİLE, MARMARAY'A, MİNÜBÜS CAD. NE YAKIN GENİŞ 3+1 DAİRE",Portföy No: P12404533,02-13-2025,İstanbul Anadolu / Maltepe/ Feyzullah Mah.,7.595.000 ₺,140,118,26-30,3+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P12404533
"ATAŞEHİR, BAKKALKÖY IŞIKLAR CAD. DE SATILIK 2+1 TEMİZ SATILIK DAİRE",Portföy No: P80061021,02-13-2025,İstanbul Anadolu / Ataşehir/ Küçükbakkalköy Mah.,6.895.000 ₺,89,75,16-20,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P80061021
İÇERENKÖY'DE İNÖNÜ MAHALLESİ'NDE ÇOK BAKIMLI 3+1,Portföy No: P57074466,02-13-2025,İstanbul Anadolu / Ataşehir/ İnönü Mah.,5.675.000 ₺,120,110,6,3+1,12,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P57074466
"ÜMRANİYE, İNKİLAP MAHALLESİ'NDE 2+1 DAİRE",Portföy No: P58333464,02-13-2025,İstanbul Anadolu / Ümraniye/ Fatih Sultan Mehmet Mah.,3.675.000 ₺,79,66,16-20,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P58333464
PENDİK FRANCO VADİ EVLERİ'NDE TERTEMİZ 3+1 DAİRE,Portföy No: P22862158,02-13-2025,İstanbul Anadolu / Pendik/ Yayalar Mah.,6.695.000 ₺,142,130,16-20,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P22862158
ALTUNIZADE DE SATILIK DAİRE,Portföy No: P68561577,02-13-2025,İstanbul Anadolu / Üsküdar/ Altunizade Mah.,**** ₺,100,85,26-30,3+1,Bahçe Katı,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P68561577
SATILIK DUBLEX,Portföy No: P84870465,02-13-2025,İstanbul Anadolu / Şile/ Çavuş Mah.,7.000.000 ₺,150,145,5,4+1,4,Doğalgaz (Kombi),Evet,https://www.remax.com.tr/portfoy/P84870465
MASAR SILVER EVLERİ 2+1 SATILIK DAİRE,Portföy No: P65883781,02-13-2025,İstanbul Anadolu / Pendik/ Çınardere Mah.,7.800.000 ₺,95,70,0,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P65883781
Kartal İstmarina Yüksek Kat Balkonlu Satılık 1+0 Daire (BOŞ),Portföy No: P05448885,02-13-2025,İstanbul Anadolu / Kartal/ Kordonboyu Mah.,4.600.000 ₺,42,24,7,1+0,23,Fancoil Ünitesi,Hayır,https://www.remax.com.tr/portfoy/P05448885
REMAX HERMES SULTANBEYLI ADIL MAHALLE 2+2 ÇATI DUBLEKS ASANSÖRLÜ,Portföy No: P77267688,02-13-2025,İstanbul Anadolu / Sultanbeyli/ Adil Mah.,3.890.000 ₺,103,85,7,2+2,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P77267688
TUZLA ŞEHRİYAZ BEŞEVLER DE KAÇIRILMAZ FIRSAT 5+1 DUBLEX DAİRE,Portföy No: P20075448,02-13-2025,İstanbul Anadolu / Tuzla/ Yayla Mah.,7.600.000 ₺,160,140,1,5+1,10,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P20075448
PENDİK (BURUN) BATI MAH  SATILIK SAHİLE 2. PARSEL BAHÇE KULLANIMLI 3+1 DAİRE,Portföy No: P45666656,02-13-2025,İstanbul Anadolu / Pendik/ Batı Mah.,4.700.000 ₺,130,110,30+,3+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P45666656
ÇEKMEKÖY AYTEMIZ KONUTLARINDA SATILIK DAIRE,Portföy No: P23486056,02-13-2025,İstanbul Anadolu / Çekmeköy/ Mimar Sinan Mah.,3.750.000 ₺,85,75,21-25,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P23486056
Maltepe Küçükyalı 'Da 2+1 Yeni Binada Satılık Daire,Portföy No: P35035766,02-13-2025,İstanbul Anadolu / Maltepe/ Küçükyalı Mah.,6.300.000 ₺,57,49,2,2+1,1,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P35035766
ÜSKÜDAR ÇAMLICA FERAH MAHALLESİNDE SATILIK SIFIR 2+1 DAİRE,Portföy No: P74256234,02-13-2025,İstanbul Anadolu / Üsküdar/ Ferah Mah.,8.000.000 ₺,90,75,1,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P74256234
Maltepe Fındıklı  Mah Satılık Bahçe Kullanımlı Kiracısız 4+1 Dubleks Daire,Portföy No: P81545704,02-13-2025,İstanbul Anadolu / Maltepe/ Fındıklı Mah.,3.790.000 ₺,125,105,10-15,4+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P81545704
TUZLA MARİNA ve SAHİL DİBİNDE SATILIK 3+1 AKILLI LÜX DAİRE,Portföy No: P52182687,02-13-2025,İstanbul Anadolu / Tuzla/ İstasyon Mah.,9.450.000 ₺,154,115,1,3+1,1,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P52182687
ŞAHSUVAROĞLU AMBİYANS PROJESİNDE PEYZAJ MANZARALI NET:76M² 2+1,Portföy No: P55826605,02-13-2025,İstanbul Anadolu / Tuzla/ Yayla Mah.,7.200.000 ₺,118,76,6,2+1,2,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P55826605
REMAX WE'DEN PENDIK ÇAMÇEŞME MAH. SATILIK 2+1 DAİRE,Portföy No: P54534151,02-13-2025,İstanbul Anadolu / Pendik/ Çamçeşme Mah.,3.950.000 ₺,70,95,9,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P54534151
BELEDİYE ÇARŞI YAKINI KAPALI MUTFAK KİRACILI YATIRIMLIK 1+1,Portföy No: P51614220,02-13-2025,İstanbul Anadolu / Çekmeköy/ Merkez Mah.,3.290.000 ₺,75,68,-20,1+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P51614220
"GÖKSU EVLERİ’NDE SÜPER KONUMLU, DÜZ GİRİŞLİ, 3+1 SATILIK DAİRE",Portföy No: P50447226,02-13-2025,İstanbul Anadolu / Beykoz/ Göztepe Mah.,9.500.000 ₺,143,130,26-30,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P50447226
FENERYOLUNDA MARMARAYA YAKIM 2+1 DAİRE,Portföy No: P85506270,02-13-2025,İstanbul Anadolu / Kadıköy/ Feneryolu Mah.,11.500.000 ₺,100,80,6,2+1,9,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P85506270
ATAŞEHIR AŞIK VEYSEL'DE 2+1 BAKIMLI KAT MÜLKIYETLI SATILIK DAIRE,Portföy No: P33884487,02-13-2025,İstanbul Anadolu / Ataşehir/ Aşıkveysel Mah.,4.500.000 ₺,90,77,10-15,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P33884487
KARTAL ORHANTEPE TEKNİK YAPI YÜCELPARK SİTESİ MANZARALI 2+1,Portföy No: P07523266,02-13-2025,İstanbul Anadolu / Kartal/ Orhantepe Mah.,5.750.000 ₺,82,56,1,2+1,15,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P07523266
TUZLA MİRADOR MARİNA ULTRA LÜKS SIFIR 3+1 SATILIK DAİRE,Portföy No: P25288611,02-13-2025,İstanbul Anadolu / Tuzla/ İstasyon Mah.,12.000.000 ₺,154,111,1,3+1,4,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P25288611
MİRADOR TUZLA SİTESİ DENİZ MANZARALI ULTRA LÜKS SATILIK DUBLEKS DAİRE,Portföy No: P82322831,02-13-2025,İstanbul Anadolu / Tuzla/ İstasyon Mah.,19.500.000 ₺,250,220,1,4+2,7,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P82322831
REMAX ANI’DAN ÜSKÜDAR FERAH MAHALLESINDE 3+1 SATILIK DAIRE,Portföy No: P71212515,02-13-2025,İstanbul Anadolu / Üsküdar/ Ferah Mah.,8.450.000 ₺,119,110,4,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P71212515
"FİNANSKENT'E KOMŞU, BAHÇELİ, YENİ BİNADA OTURUMA HAZIR 1+1",Portföy No: P06732022,02-13-2025,İstanbul Anadolu / Ümraniye/ Armağanevler Mah.,2.750.000 ₺,55,45,5,1+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P06732022
PENDİK YENİ MAHALLE SİTE SIFIR 3+1 SATILIK DAİRE TAPU MASRAFSIZ,Portföy No: P08512876,02-13-2025,İstanbul Anadolu / Pendik/ Yeni Mah.,7.500.000 ₺,120,90,0,3+1,5,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P08512876
SATILIK BAĞDAT CADDESİ PANORAMİK DENİZ MANZARALI  LÜKS 3+1 GENİŞ MARMARAY VE METRO İLE KOMŞU,Portföy No: P35252501,02-13-2025,İstanbul Anadolu / Maltepe/ Altıntepe Mah.,21.900.000 ₺,130,115,4,3.5+1,3,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P35252501
GİRNE MAH. AÇIK OTOPARKLI İSKANLI 110 M² GİYİNME ODALI 3+1 DAİRE,Portföy No: P10081161,02-13-2025,İstanbul Anadolu / Maltepe/ Girne Mah.,5.250.000 ₺,110,90,10-15,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P10081161
SANCAKTEPE BAHÇE DUBLEKS HAVUZ CEPHE 3+1 SATILIK DAİRE,Portföy No: P37311207,02-13-2025,İstanbul Anadolu / Sancaktepe/ Abdurrahmangazi Mah.,6.550.000 ₺,135,120,7,3+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P37311207
"4+2, ATAŞEHIR, DUMANKAY IKON, ISTER KONUT ISTER TICARI KULLANILABILIR",Portföy No: P38407411,02-13-2025,İstanbul Anadolu / Ataşehir/ Örnek Mah.,12.450.000 ₺,160,120,10-15,4+2,Giriş Katı,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P38407411
ETHEM EFENDİ ÇAMLIKÖŞK SOK ta,Portföy No: P71886370,02-13-2025,İstanbul Anadolu / Kadıköy/ Erenköy Mah.,8.200.000 ₺,135,110,30+,3+1,3,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P71886370
REMAX HERMES SAFA MAHALLESİNDE TERAS 1+1 SATILIK İSKANLI DAİRE,Portföy No: P27851345,02-13-2025,İstanbul Anadolu / Sancaktepe/ Safa Mah.,1.990.000 ₺,66,59,9,1+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P27851345
REMAX HERMES SAFA MAHALLESİNDE 2+1 SATILIK İSKANLI DAİRE,Portföy No: P55435062,02-13-2025,İstanbul Anadolu / Sancaktepe/ Safa Mah.,2.975.000 ₺,85,75,10-15,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P55435062
ATAŞEHİR İÇERENKÖY DE SATILIK 3+1 GENİŞ DAİRE,Portföy No: P10202180,02-13-2025,İstanbul Anadolu / Ataşehir/ İçerenköy Mah.,5.500.000 ₺,150,110,21-25,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P10202180
ÇENGELKÖY HASBAHÇE EVLERİ LÜKS ARA KAT SIFIR 4+1 DAİRE,Portföy No: P34855271,02-13-2025,İstanbul Anadolu / Üsküdar/ Küçüksu Mah.,14.400.000 ₺,207,147,1,4+1,2,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P34855271
ÜSKÜDAR ACIBADEM'DE 3+1 175 M2 SATILIK DUBLEX DAİRE,Portföy No: P30518111,02-13-2025,İstanbul Anadolu / Üsküdar/ Altunizade Mah.,18.600.000 ₺,175,145,9,3+1,En Üst Kat,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P30518111
KENAN TÜRKMEN'DEN SATILIK SANCAKTEPE MERKEZDE 2+1 DAİRE,Portföy No: P76360402,02-13-2025,İstanbul Anadolu / Sancaktepe/ Abdurrahmangazi Mah.,3.500.000 ₺,70,65,10-15,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P76360402
KOZYATAĞI MAHALLESİNDE 2+1  YENİ İNŞA EDİLMİŞ  - 7.KAT 90m2 SATILIK DAİRE,Portföy No: P66470537,02-13-2025,İstanbul Anadolu / Kadıköy/ Kozyatağı Mah.,8.900.000 ₺,90,70,2,2+1,7,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P66470537
REMAXPROF SANCAKTEPE SİNPAŞ AQUA CITY 2010 HAVUZ CEPHELİ SATILIK 118M2 2+1 BOŞ DAİRE,Portföy No: P04055703,02-13-2025,İstanbul Anadolu / Sancaktepe/ Emek Mah.,8.250.000 ₺,118,85,10-15,2+1,6,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P04055703
İDEALTEPE'DE METROYA YAKIN SATILIK GENİŞ 3+1 SATILIK DAİRE,Portföy No: P71712055,02-13-2025,İstanbul Anadolu / Maltepe/ İdealtepe Mah.,10.500.000 ₺,120,98,1,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P71712055
SANCAKTEPE ÇAMSANPARK RESİDENCE SATILIK 2+1 DAİRE,Portföy No: P43450835,02-13-2025,İstanbul Anadolu / Sancaktepe/ Emek Mah.,6.950.000 ₺,122,88,4,2+1,4,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P43450835
SANCAKTEPE VEYSELKARANİDE METROYA YAKIN  SATILIK 5+2 FERAH DUBLEX,Portföy No: P16224660,02-13-2025,İstanbul Anadolu / Sancaktepe/ Veysel Karani Mah.,8.100.000 ₺,210,190,9,5+2,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P16224660
METROYA YAKIN SIFIR BİNADA 2+1SATILIK DAİRE,Portföy No: P28134580,02-13-2025,İstanbul Anadolu / Ümraniye/ Çakmak Mah.,3.700.000 ₺,85,65,2,2+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P28134580
AHMET YESEVİDE ÖNÜ KAPANMAZ HAVAALANI MANZARALI DUBLEX,Portföy No: P77133820,02-13-2025,İstanbul Anadolu / Pendik/ Ahmet Yesevi Mah.,4.900.000 ₺,160,145,10-15,3+2,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P77133820
PENDIK ÇAMÇEŞMEDE E-5 E YAKIN KULLANIŞLI SATILIK 3+1 DAIRE,Portföy No: P76621886,02-13-2025,İstanbul Anadolu / Pendik/ Çamçeşme Mah.,3.000.000 ₺,100,85,21-25,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P76621886
PENDİK ÇAMÇEŞME MAHALLESİNDE 2+1 SATILIK DAİRE,Portföy No: P22573733,02-13-2025,İstanbul Anadolu / Pendik/ Çamçeşme Mah.,2.050.000 ₺,100,90,21-25,2+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P22573733
SANCAKTEPE SAMANDIRA METROYA YÜRÜME MESAFESİNDE ARA KATTA GENİŞ 3+1 DAİRE,Portföy No: P23486764,02-13-2025,İstanbul Anadolu / Sancaktepe/ Eyüp Sultan Mah.,5.500.000 ₺,140,130,8,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P23486764
ÇENGELKÖYDE SATILIK ARA KAT DAİRE,Portföy No: P54447301,02-13-2025,İstanbul Anadolu / Üsküdar/ Çengelköy Mah.,15.750.000 ₺,171,152,5,4+1,2,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P54447301
FENERBAHÇE DE MARİNAYA YAKIN GÜVENLİKLİ SATILIK 4+1 DAİRE,Portföy No: P02288117,02-13-2025,İstanbul Anadolu / Kadıköy/ Fenerbahçe Mah.,75.000.000 ₺,260,210,7,4+1,5,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P02288117
SULTANBEYLI ADIL MAHALLESINDE MERKEZI KONUMDA SIFIR 4+2 SATILIK DAIRE,Portföy No: P46204141,02-13-2025,İstanbul Anadolu / Sancaktepe/ Atatürk Mah.,9.500.000 ₺,170,140,1,4+2,8,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P46204141
ÜMRANİYE SİTE MAHALLESİNDE SATILIK 3+1 DAİRE,Portföy No: P62158453,02-13-2025,İstanbul Anadolu / Ümraniye/ Site Mah.,3.650.000 ₺,110,90,26-30,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P62158453
SULTANBEYLİ ADIL MAHALLESINDE 2+1 SATILIK DAIRE,Portföy No: P15818126,02-13-2025,İstanbul Anadolu / Sancaktepe/ Atatürk Mah.,5.500.000 ₺,95,82,1,2+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P15818126
SULTANBEYLİ ADIL MAHALLESINDE SIFIR 3+1 SATILIK SIFIR DAIRE,Portföy No: P67717440,02-13-2025,İstanbul Anadolu / Sancaktepe/ Atatürk Mah.,8.500.000 ₺,158,138,1,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P67717440
KOZYATAĞI METRO CİTYS AVM YANI CADDE ÜZERİ ARAKAT DAİRE,Portföy No: P64617300,02-13-2025,İstanbul Anadolu / Ataşehir/ İçerenköy Mah.,6.250.000 ₺,125,105,30+,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P64617300
RİNGS İSTANBUL'DA HARİKA KONUMDA SATILIK 2+1,Portföy No: P47833607,02-13-2025,İstanbul Anadolu / Sancaktepe/ Veysel Karani Mah.,9.400.000 ₺,150,110,10-15,2+1,4,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P47833607
DENİZ MANZARALI BÜYÜK DAİRE ARAYANLAR İÇİN SATILIK 4+1,Portföy No: P35033477,02-13-2025,İstanbul Anadolu / Kartal/ Karlıktepe Mah.,18.250.000 ₺,200,178,6,4+1,24,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P35033477
"ÇENGELKÖY TUANA PRESTİJ EVLERİNDE 233M² 4,5+1 SATILIK DAİRE",Portföy No: P52872718,02-13-2025,İstanbul Anadolu / Üsküdar/ Çengelköy Mah.,15.250.000 ₺,233,188,2,4.5+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P52872718
REMAX WE- NİSH ADALAR LEB-İ DERYA MANZARALI 3+1A TİPİ SATILIK,Portföy No: P37337268,02-13-2025,İstanbul Anadolu / Maltepe/ Başıbüyük Mah.,18.650.000 ₺,196,146,10-15,3+1,15,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P37337268
MALTEPE BAĞLARBAŞI MAHALLESİNDE 3 YAŞINDA 1+1 SATILIK DAİRE,Portföy No: P52380726,02-13-2025,İstanbul Anadolu / Maltepe/ Bağlarbaşı Mah.,3.600.000 ₺,50,40,4,1+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P52380726
YAKACIK AYAZMA'DA SATILIK 2+1 FIRSAT DAİRE,Portföy No: P62431084,02-13-2025,İstanbul Anadolu / Kartal/ Hürriyet Mah.,2.900.000 ₺,65,54,0,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P62431084
FENERBAHÇE DALYAN AZ KATLI YEŞİLLİKLER İÇ BAHÇELİ KUPON 4+1,Portföy No: P72450353,02-13-2025,İstanbul Anadolu / Kadıköy/ Fenerbahçe Mah.,21.000.000 ₺,140,110,2,4+1,1,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P72450353
ÜMRANİYE İSTİKLAL SİTE İÇİ METRO VE ÇARŞI YÜRÜME LÜKS 3+1 DAİRE,Portföy No: P04017223,02-13-2025,İstanbul Anadolu / Ümraniye/ İstiklal Mah.,7.250.000 ₺,105,80,1,3+1,1,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P04017223
DERVİŞOĞLU YAPI'DAN GÜVENER SUİTES'DE 3+1 SATILIK DAİRE,Portföy No: P85335228,02-13-2025,İstanbul Anadolu / Kadıköy/ Feneryolu Mah.,15.000.000 ₺,145,100,10-15,3+1,4,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P85335228
Kadıköy Karakolhane Caddesi Üstünde Yatırıma Uygun Daire,Portföy No: P84817228,02-13-2025,İstanbul Anadolu / Kadıköy/ Rasimpaşa Mah.,3.300.000 ₺,75,70,30+,2+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P84817228
"Kadıköy, Suadiye, Feride Geçidi, Marmaray, Metro Balkonlu Teraslı Dubleks 3+2",Portföy No: P30136868,02-13-2025,İstanbul Anadolu / Kadıköy/ Suadiye Mah.,18.000.000 ₺,180,152,0,3+2,7,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P30136868
"Şile, Balıbey, Bahçeli, Giriş Kat, Villa Tipi, Satılık, Site, Krediye Uygun, 4+1",Portföy No: P34507856,02-13-2025,İstanbul Anadolu / Şile/ Balibey Mah.,9.150.000 ₺,180,110,5,4+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P34507856
"Beykoz Elysium Es Sitesi, Satılık, Site , Acarlar,  Loft&Dubleks 2+1, 140 m2",Portföy No: P46682537,02-13-2025,İstanbul Anadolu / Beykoz/ Acarlar Mah.,14.250.000 ₺,140,130,4,2+1,1,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P46682537
MALTEPE 1+0 SATILIK METROYA E5 SINIR SITE,Portföy No: P51613568,02-13-2025,İstanbul Anadolu / Maltepe/ Altayçeşme Mah.,3.750.000 ₺,50,40,7,1+0,2,VRV,Evet,https://www.remax.com.tr/portfoy/P51613568
TUZLA SATILIK EŞYALI STÜDYO DAİRE,Portföy No: P40618821,02-13-2025,İstanbul Anadolu / Tuzla/ Aydınlı Mah.,2.495.000 ₺,40,36,10-15,1+0,6,Doğalgaz (Kombi),Evet,https://www.remax.com.tr/portfoy/P40618821
KARTAL DENIZ MANZARALI KAT MÜLKIYETLI DUBLEKS SATILIK DAIRE,Portföy No: P62257403,02-13-2025,İstanbul Anadolu / Kartal/ Yukarı Mah.,10.200.000 ₺,180,144,7,4+2,Çatı Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P62257403
REMAX TAN PENDİK SAPAN BAĞLAR'DA DENİZ MANZARALI HARİKA DUBLEKS,Portföy No: P55000628,02-13-2025,İstanbul Anadolu / Pendik/ Sapan Bağları Mah.,12.500.000 ₺,280,250,10-15,5+2,8,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P55000628
REMAX TAN'DAN SATILIK 4+2 GENİŞ DUBLEKS DAİRE,Portföy No: P14311257,02-13-2025,İstanbul Anadolu / Pendik/ Yeni Mah.,13.500.000 ₺,260,200,9,4+2,8,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P14311257
REMAX TAN’ DAN OLİMPİYAT CADDESİNDE SATILIK 4+2 DUBLEX DAİRE,Portföy No: P62048707,02-13-2025,İstanbul Anadolu / Pendik/ Çınardere Mah.,5.800.000 ₺,220,170,10-15,4+2,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P62048707
RE/MAX TAN TUZLA İÇMELER SATILIK 2+1 SIFIR DAİRE,Portföy No: P13536664,02-13-2025,İstanbul Anadolu / Tuzla/ İçmeler Mah.,3.650.000 ₺,100,80,1,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P13536664
REMAX TAN KARTAL SOĞANLIK'TA 41 M2 ARSA PAYLI SATILIK 2+1 DAİRE,Portföy No: P22642648,02-13-2025,İstanbul Anadolu / Kartal/ Gümüşpınar Mah.,2.000.000 ₺,85,65,30+,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P22642648
REMAX TAN CADDE ARKASINDA MANZARALI GENİŞ DUBLEX DAİRE,Portföy No: P85030327,02-13-2025,İstanbul Anadolu / Kartal/ Topselvi Mah.,5.900.000 ₺,140,120,10-15,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P85030327
ATAŞEHİR ÖRNEK MAHALLESİ DUMANKAYA İKON RESİDENCE 2+1 FULL EŞYALI SATILIK DAİRE,Portföy No: P41135634,02-13-2025,İstanbul Anadolu / Ataşehir/ Örnek Mah.,5.000.000 ₺,75,55,10-15,2+1,26,Merkezi (Pay Ölçer),Evet,https://www.remax.com.tr/portfoy/P41135634
