Advertisement,Advertisement No,Advertisement Date,City,District,Neighborhood,Price (try),Gross Area (m2),Net Area (m2),Building Age,Room,Floor,Heating,Furnished,Advertisement Link
ÜMRANİYE CEMİL MERİÇ GÜVEN PARK RESİDENCE BOŞ 2+1 SATILIK DAİRE,P16175785,2025-02-13,İstanbul,Ümraniye, Cemil Meriç,4500000,85,57,4,2+1,4,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P16175785
TUZLA AYDINLI MERKEZİ KONUMDA YENİ BİNADA SATILIK 2+1  DAİRE,P12454303,2025-02-13,İstanbul,Tuzla, Aydınlı,4070000,72,60,3,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P12454303
KADIKÖY RIHTIM'DA MERKEZI KONUMDA 2+1 BALKONLU DAIRE,P26352833,2025-02-13,İstanbul,Kadıköy, Rasimpaşa,4600000,100,80,30+,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P26352833
ÇEKMEKÖY MERKEZ MAH. SATILIK SIFIR 3+1 DAİRE,P83500317,2025-02-13,İstanbul,Çekmeköy, Merkez,6000000,100,85,1,2+1,2,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P83500317
İKİ AYRI DAİRE OLARAK KULLANILABİLİR FIRSAT 4+2 ÜST DUBLEKS,P18557400,2025-02-13,İstanbul,Sultanbeyli, Mimar Sinan,5620000,195,170,1,4+2,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P18557400
ÜSKÜDAR ÇAMLICA EVLERİ'NDE BOŞ SATILIK GENİŞ 4+1 DAİRE,P28731064,2025-02-13,İstanbul,Üsküdar, Cumhuriyet,12150000,191,150,16-20,4+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P28731064
TUZLA'DA YÜZME HAVUZLU SİTEDE 2+1 SATILIK DAİRE,P17507415,2025-02-13,İstanbul,Tuzla, Yayla,5000000,93,72,10-15,2+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P17507415
KUZGUNCUK TA SAHİLE 100m SATILIK 2+1 BOŞ,P20158822,2025-02-13,İstanbul,Üsküdar, Kuzguncuk,9900000,75,65,30+,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P20158822
ACIBADEM BAHÇE KULLANIMLI LÜKS 3+1 SATILIK,P38450112,2025-02-13,İstanbul,Üsküdar, Acıbadem,10850000,124,106,1,3+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P38450112
KARTAL AND PASTEL KULEDE 35 KAT DENIZ MANZARALI 1+1 SATILIK,P58358517,2025-02-13,İstanbul,Kartal, Esentepe,5954000,74,46,30+,1+1,35,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P58358517
ŞERIFALI MH LAVELLA 5 SITESI SATILIK BOŞ 2+1 DAIRE,P11672256,2025-02-13,İstanbul,Ümraniye, Yukarı Dudullu,6900000,90,70,10-15,2+1,Giriş Katı,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P11672256
TUZLA EMLAK KONUTLARI 2.ETAP İLK BLOKTA YATIRIMLIK 61 M² SATILIK 1+1 DAIRE,P37174872,2025-02-13,İstanbul,Tuzla, Aydınlı,3200000,61,45,10-15,1+1,9,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P37174872
ÇEKMEKÖY YILDIZSARAYLAR SİTESİ SATILIK 3+1 FIRSAT DAİRE,P72116286,2025-02-13,İstanbul,Çekmeköy, Hamidiye,4800000,110,85,30+,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P72116286
SUADİYE AYDIN SOKAK'TA BAĞDAT CADDESİNE YAKIN 3+1 SATILIK DAİRE,P65401035,2025-02-13,İstanbul,Kadıköy, Suadiye,16000000,125,105,21-25,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P65401035
PENDİK GÜZELYALI 2+1 105 M2 KİRACISIZ İSKANLI SATILIK DAİRE,P26340032,2025-02-13,İstanbul,Pendik, Güzelyalı,3350000,105,85,10-15,2+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P26340032
MALTEPE MARMARAYA YÜRÜME MESAFESİNDE 3+1 LOFT DAİRE,P02618386,2025-02-13,İstanbul,Maltepe, Cevizli,7500000,135,110,6,3+1,1,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P02618386
KARTAL PETROLİŞ DE SATILIK DAİRE,P64717334,2025-02-13,İstanbul,Kartal, Petrol iş,4800000,110,90,30+,3+1,2,Doğalgaz (Kombi),Evet,https://www.remax.com.tr/portfoy/P64717334
SULTANBEYLİ MERKEZDE ŞEHİR MANZARALI 7 YILLIK FERAH 2+1,P80418868,2025-02-13,İstanbul,Sultanbeyli, Hasanpaşa,4900000,80,70,7,2+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P80418868
SULTANBEYLİ MERKEZDE 7 YILLIK BİNADA 3+2 PANORAMİK ŞEHİR MANZARALI DUBLEKS,P56261261,2025-02-13,İstanbul,Sultanbeyli, Hasanpaşa,5850000,135,120,7,3+2,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P56261261
"Tuzla Aydıntepe'de Ebeveyn Banyolu, Deniz Manzaralı 3+1 Sıfır Daire",P85465020,2025-02-13,İstanbul,Tuzla, Aydıntepe,5450000,120,100,1,3+1,4,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P85465020
ZÜHTÜPAŞA'DA FENERBAHÇE STADI YANI YATIRIMLIK 2+1 GENİŞ DAİRE,P20284462,2025-02-13,İstanbul,Kadıköy, Zühtüpaşa,5000000,110,90,26-30,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P20284462
PENDIK GÜZELYALI'DA 3+1 SATILIK DAIRE,P02652684,2025-02-13,İstanbul,Pendik, Güzelyalı,3975000,145,135,21-25,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P02652684
CENGIZ TOPEL CADDESI YATIRIMA UYGUN 3+1 DAIRE,P82753222,2025-02-13,İstanbul,Ümraniye, Namık Kemal,5545000,135,100,21-25,3+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P82753222
TUZLA AKASYA EVLERİ'NDE 3+1 SATILIK LÜKS DAIRE,P77621037,2025-02-13,İstanbul,Tuzla, Yayla,9250000,122,98,0,3+1,7,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P77621037
DALYAN SAHİL DENİZE 3.BİNA HAVUZLU GÜVENLİKLİ GENİŞ 4+1,P83485777,2025-02-13,İstanbul,Kadıköy, Fenerbahçe,41000000,220,170,6,4+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P83485777
Siltaş Teras Park Evleri Fırsat Teraslı Manzaralı Satılık Daire,P32076268,2025-02-13,İstanbul,Pendik, Çamlık,11900000,175,145,9,3+1,Giriş Katı,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P32076268
TUZLA CORDELLA SATILIK 2+1 BOŞ DAIRE ***HEMEN TAŞIN,P52305521,2025-02-13,İstanbul,Tuzla, Yayla,5750000,108,80,10-15,2+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P52305521
FOUR WINDS  3+1 ÖZEL DEKORLU SATILIK DAİRE,P54466326,2025-02-13,İstanbul,Kadıköy, Göztepe,38900000,223,150,8,3+1,8,VRV,Hayır,https://www.remax.com.tr/portfoy/P54466326
EVORA C PARSEL EBEVEYN BANYOLU PEYZAJ CEPHE 136 M2 3+1 BOŞ DAİRE,P37200356,2025-02-13,İstanbul,Tuzla, Aydıntepe,9800000,136,130,9,3+1,1,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P37200356
MALTEPE FEYZULLAH MAH. BAĞDAT CAD. DE SATILIK 4+2 DUBLEKS DAİRE,P74303607,2025-02-13,İstanbul,Maltepe, Feyzullah,10350000,170,140,26-30,4+2,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P74303607
ÜSKÜDAR SALACAK'DA BOĞAZ MANZARALI 142M2 NET BOŞ SATILIK DUBLEKS,P16324241,2025-02-13,İstanbul,Üsküdar, Salacak,20900000,190,142,8,3+2,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P16324241
KÜÇÜKYALIDA YENI BINADA ASANSÖRLÜ ARA KAT DAIRE,P64142444,2025-02-13,İstanbul,Maltepe, Küçükyalı,6000000,65,55,10-15,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P64142444
GÖZTEPE METROYA YAKIN SITE İÇERISINDE SATILIK 2+1 DUBLEKS DAIRE,P01043115,2025-02-13,İstanbul,Ataşehir, Örnek,4800000,85,65,8,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P01043115
TUZLA MERCAN DUBLEKS SATILIK 4+1 DAİRE,P07266275,2025-02-13,İstanbul,Tuzla, Postane,8050000,120,96,26-30,4+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P07266275
HAMİT ÖZ'DEN CEVİZLİ DE SIFIR BİNA SATILIK 2+1 LÜKS YENİ DAİRE,P86144522,2025-02-13,İstanbul,Kartal, Cevizli,7300000,110,80,1,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P86144522
DUMANKAYA TREND SİTESİ'NDE 70 M2 1+1 EŞYALI SATILIK DAİRE...,P66318144,2025-02-13,İstanbul,Pendik, Yenişehir,4500000,70,55,16-20,1+1,4,Doğalgaz (Kombi),Evet,https://www.remax.com.tr/portfoy/P66318144
SIFIR(HIÇ KULLANILMAMIŞ) TIME TOWER SINPAŞ FINANS ŞEHIR 1+0,P33240356,2025-02-13,İstanbul,Ümraniye, Finanskent,4850000,47,30,2,1+0,12,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P33240356
MODA'NIN KALBİNDE MASRAFSIZ 3+1 TEMİZ BAHÇELİ SATILIK DAİRE,P73037674,2025-02-13,İstanbul,Kadıköy, Caferağa,5400000,150,125,30+,3+1,Bahçe Katı,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P73037674
BARBAROS MH.FERDİ ÜNER SK. SATILIK 3+1 125M2 ARAKAT DAİRE,P15834246,2025-02-13,İstanbul,Üsküdar, Barbaros,13850000,120,100,2,3+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P15834246
ÇAĞRI MARKETİN ARKASI FULL TADİLATLI / FULL EŞYALI LÜKS DUBLEKS,P04682733,2025-02-13,İstanbul,Ümraniye, Esenevler,12750000,162,145,21-25,3.5+1,5,Doğalgaz (Kombi),Evet,https://www.remax.com.tr/portfoy/P04682733
BARBAROS MH.FERDİ ÜNER SK. SATILIK DUBLEKS BAHÇE KULLANIMLI 2+1,P83164237,2025-02-13,İstanbul,Üsküdar, Barbaros,8650000,100,82,2,2+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P83164237
REMAX AIR'DEN  DOĞU  MAH. METROYA YAKIN GENİŞ SATILIK 3+1 DAİRE,P55458006,2025-02-13,İstanbul,Pendik, Doğu,4825000,130,110,26-30,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P55458006
KARTAL CUMHURİYET MAH SATILIK 3+1 DAİRE,P23421654,2025-02-13,İstanbul,Kartal, Cumhuriyet,4100000,105,90,6,3+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P23421654
Şehrin Merkezinde Konfor ve Estetiği Buluşturan 3+1 Daire,P48828731,2025-02-13,İstanbul,Tuzla, İçmeler,4650000,125,105,6,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P48828731
KURTKÖY KUĞU PARK SİTESİ TERASLI BOŞ DAİRE,P06768011,2025-02-13,İstanbul,Pendik, Kurtköy,4500000,150,120,9,2+1,7,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P06768011
REMAX MASA BURHANİYE ÇAMLICA CADDESİNDE 80 M² 2+1 SATILIK DAİRE,P68000432,2025-02-13,İstanbul,Üsküdar, Burhaniye,7000000,80,60,0,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P68000432
REMAX ENJOY'DAN ÜNALAN'DA SATILIK 3+1 DUBLEKS,P00172723,2025-02-13,İstanbul,Üsküdar, Ünalan,6200000,120,100,10-15,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P00172723
KAYNARCA SATILIK DUBLEKS DAİRE,P62528528,2025-02-13,İstanbul,Pendik, Kaynarca,4950000,150,135,6,3+2,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P62528528
AYDINLI LOKUM EVLER SATILIK LÜKS DAİRE,P51637786,2025-02-13,İstanbul,Tuzla, Aydınlı,7000000,155,105,8,3.5+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P51637786
FENERYOLUNDA MARMARA ÜNİ.KARŞISINDA SIFIR SATILIK DAİRELER,P24257843,2025-02-13,İstanbul,Kadıköy, Feneryolu,12500000,84,66,1,2+1,7,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P24257843
FENERYOLUNDA 2009 YAPIM  ARA KAT 1+1 AÇIK OTOPARKLI AZ KATLA,P05340161,2025-02-13,İstanbul,Kadıköy, Feneryolu,6400000,80,60,16-20,1+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P05340161
MALTEPE CEVIZLIDE YATIRIM FIRSATI!,P52636040,2025-02-13,İstanbul,Maltepe, Cevizli,3450000,150,120,26-30,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P52636040
KARTAL YALI MAHALLESİ SATILIK 2+1 SIFIR DAİRE,P32085182,2025-02-13,İstanbul,Kartal, Yalı,4550000,114,75,1,2+1,Giriş Katı,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P32085182
ÜSKÜDAR’DA 2+1 KAT MÜLKİYETL-İ DAİRE metro 900 mt - YATIRIM FIRSATI,P71123756,2025-02-13,İstanbul,Üsküdar, Selami Ali,3250000,70,56,30+,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P71123756
SULTANBEYLİ ADİL MAHALLESİNDE NEZİH KONUMDA FERAH DUBLEKS DAİRE!,P26630628,2025-02-13,İstanbul,Sultanbeyli, Adil,3200000,95,90,10-15,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P26630628
ANTASYA RESIDENCE TEMİZ FERAH SATILIK DAİRE - HESNA YILMAZ,P68801657,2025-02-13,İstanbul,Ümraniye, Saray,6000000,74,44,8,1+1,14,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P68801657
ANTRİUM RESİDENCE KONUMU ÇOK İYİ SATILIK 5+1- HESNA YILMAZ,P72271805,2025-02-13,İstanbul,Ümraniye, Saray,27000000,330,250,16-20,5+1,3,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P72271805
Erdal Özbek'ten Ümraniye Atakent'te yeni metro hattının yanında 3+1 daire,P41403406,2025-02-13,İstanbul,Ümraniye, Atakent,4900000,100,75,30+,3+1,9,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P41403406
KARTAL CUMHURİYET MAHLESİNDE CADDE ÜZERİ SATILIK 2+1 DAİRE,P42403635,2025-02-13,İstanbul,Kartal, Cumhuriyet,4950000,77,68,2,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P42403635
KADIKÖY SAHRAYICEDIT E5 YANINDA BALKONLU GENIŞ SATILIK 3+1 DAIRE,P58531816,2025-02-13,İstanbul,Kadıköy, Sahrayıcedit,8975000,150,120,26-30,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P58531816
REMAX MASA'DAN ALTUNİZADE GÜNERİ İNŞATTA 3+1 SATILIK DAİRE,P27071476,2025-02-13,İstanbul,Üsküdar, Burhaniye,17490000,130,106,3,3+1,1,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P27071476
REMAX TERMİNAL LÜKS KONUT UZMANI OYA DOĞAN ANTORMAN 2+1 BAHÇE,P36360747,2025-02-13,İstanbul,Çekmeköy, Merkez,27000000,183,160,10-15,2+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P36360747
BURCU AYDENİZ'DEN AVRUPA KONUTLARI ESENTEPEDE KİRALIK 4+1,P57606243,2025-02-13,İstanbul,Kartal, Esentepe,21500000,190,155,1,4+1,4,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P57606243
KADIKÖY HASANPAŞA 'DA 3+1 SATILIK DAİRE,P78884034,2025-02-13,İstanbul,Kadıköy, Hasanpaşa,3750000,100,80,26-30,3+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P78884034
BURCU AYDENİZ'DEN AVRUPA KONUTLARI ESENTEPEDE SATILIK 4+1,P20357212,2025-02-13,İstanbul,Kartal, Esentepe,21000000,190,150,1,4+1,10,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P20357212
ÇEKMEKÖY MEHMET AKİF MAH. METROYA YÜRÜME MESAFESİNDE CADDE ÜZERİ SATILIK 2+1 DAİRE,P85608852,2025-02-13,İstanbul,Çekmeköy, Mehmet Akif,3250000,85,75,10-15,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P85608852
Erdal Özbek'ten İçerenköy'de dubleks daire,P56681168,2025-02-13,İstanbul,Ataşehir, İçerenköy,6900000,200,165,6,4+2,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P56681168
ATAŞEHIR ÖRNEK MAH. 3+1 DUBLEKS SATILIK BOŞ DAIRE,P60734504,2025-02-13,İstanbul,Ataşehir, Örnek,5450000,95,84,10-15,3+1,En Üst Kat,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P60734504
KARTALDA AKVARYUM SİTESİNDE SATILIK ARA KAT 3+1 DAİRE,P18077055,2025-02-13,İstanbul,Kartal, Kordonboyu,6190000,150,120,21-25,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P18077055
Altıntepe Galipbey Caddesinde balkonlu 3+1 3.kat,P33851751,2025-02-13,İstanbul,Maltepe, Altıntepe,4600000,128,98,30+,3+1,3,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P33851751
KADIKÖY FIKIRTEPE TEKNIK YAPI CONCORD SATILIK 1+1 DAIRE,P56075754,2025-02-13,İstanbul,Kadıköy, Merdivenköy,6350000,48,37,8,1+1,21,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P56075754
ÜMRANİYE İSTİKLAL MH 85 M2 2+1 ASANSÖRLÜ OTOPARKLI FERAH DAİRE,P77070774,2025-02-13,İstanbul,Ümraniye, İstiklal,6250000,85,73,10-15,2+1,1,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P77070774
PENDİK YENİŞEHİR MAHALLESİ ÇEVİK SİTESİ SATILIK 2+1  DAİRE...,P48730500,2025-02-13,İstanbul,Pendik, Yenişehir,3210000,90,75,26-30,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P48730500
ETHEM EFENDİ CD. ÜZERİNDE 155 M2 NET 4+1 EMSALSİZ SATILIK DAİRE,P82173523,2025-02-13,İstanbul,Kadıköy, Caddebostan,39500000,205,155,1,4+1,4,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P82173523
BAĞDAT CD. GÖZTEPE PARKINA 2.PARALELDE 130M2 NET 4+1 SIFIR DAIRE,P06203535,2025-02-13,İstanbul,Kadıköy, Caddebostan,29000000,170,130,0,4+1,9,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P06203535
PENDİK ÇARŞI İÇİNDE MARMARAYA YÜRÜME MESAFESİNDE SATILIK DAİRE,P46744520,2025-02-13,İstanbul,Pendik, Batı,3225000,90,75,26-30,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P46744520
NECİPFAZIL MAH. ÇEVRESİ AÇIK MERKEZİ LOKASYONDA SATILIK DAİRE,P12836266,2025-02-13,İstanbul,Sultanbeyli, Necip Fazıl,3400000,84,70,1,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P12836266
ÜMRANİYE YAMANEVLER MAHALLESİ'NDE 2+1 ARAKAT SATILIK DAİRE,P01748816,2025-02-13,İstanbul,Ümraniye, Yamanevler,5750000,75,60,2,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P01748816
ÜMRANİYE NECİP FAZIL’DA İÇİ TAMAMEN YENİLENMİŞ 1+1,P00802018,2025-02-13,İstanbul,Ümraniye, Necip Fazıl,2250000,45,36,21-25,1+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P00802018
ÜMRANİYE ÇARŞI METRO YA YÜRÜME MESAFESİNDE SIFIR 2+1 SATILIK DAİRE,P77388367,2025-02-13,İstanbul,Ümraniye, İstiklal,6500000,82,70,1,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P77388367
FIRSAT!!! RİNGS İSTANBUL SİTESİNDE SATILIK 3+1,P64521445,2025-02-13,İstanbul,Sancaktepe, Veysel Karani,10500000,197,145,10-15,3+1,3,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P64521445
MALTEPE ZÜMRÜTEVLER'DE AYRIK NİZAMDA GENİŞ 3+1 GÜNBOYU GÜNEŞ ALAN DAİRE,P50850841,2025-02-13,İstanbul,Maltepe, Zümrütevler,5600000,130,100,10-15,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P50850841
PENDİK KAYNARCA MARMARAY DURAĞINDA SATILIK 3+1 DAİRE,P60303721,2025-02-13,İstanbul,Pendik, Kaynarca,2950000,135,115,26-30,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P60303721
PENDİK ÇARŞI DOĞU MH. LOKMAN HEKİM CD. ARA KAT SATILIK 3+1 DAİRE,P33616888,2025-02-13,İstanbul,Pendik, Doğu,3695000,140,120,30+,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P33616888
MIMAR SINAN BOSNA CADDESI ÜZERINDE ARAKAT 2+1 YENI DAIRE,P13602121,2025-02-13,İstanbul,Çekmeköy, Mimar Sinan,4150000,80,60,5,2+1,2. Bodrum,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P13602121
İDEALTEPE'DE  3+1 -  50.YIL KORUSUNUN YANINDA YATIRIMLIK KEYİFLİ SATILIK  DUBLEKS DAIRE,P88716783,2025-02-13,İstanbul,Maltepe, İdealtepe,10600000,125,110,30+,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P88716783
YAKACIK YENİ MAHALLEDE DENİZ MANZARALI 3+1 BOŞ DAİRE,P04736456,2025-02-13,İstanbul,Kartal, Yakacık Yeni,6150000,110,80,9,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P04736456
REMAX ANKA 'DAN SATILIK LÜKS SIFIR 3+1 ÇATI DUBLEKS DAİRE,P18305320,2025-02-13,İstanbul,Şile, Balibey,7950000,140,124,1,3+1,1,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P18305320
"KADIKÖY, YELDEĞIRMENI, MARMARAY, METRO YAKINI GENIŞ M² 2,5 +1",P56505380,2025-02-13,İstanbul,Kadıköy, Rasimpaşa,5250000,90,80,30+,2.5+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P56505380
YASIN MERAL - KÜÇÜKYALI EMRE SITESI GENIŞ 3+1 PEYZAJLI GIRIŞ KAT,P17338378,2025-02-13,İstanbul,Maltepe, Küçükyalı,5350000,130,105,26-30,3+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P17338378
"BAĞLARBAŞI YÜKSEK ARSA PAYLI ÖN CEPHE, ARA KATTA İSTER OTURUMLUK,İSTER YATIRIMLIK SATILIK 3+1 DAİRE",P64713655,2025-02-13,İstanbul,Maltepe, Bağlarbaşı,4275000,105,91,30+,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P64713655
DAP DALGA KULE DENİZ MANZARALI EŞYALI SATILIK 2+1  DAİRE,P48241044,2025-02-13,İstanbul,Maltepe, Cevizli,7500000,98,65,9,2+1,18,Merkezi,Evet,https://www.remax.com.tr/portfoy/P48241044
ATAŞEHİR ÖRNEK MAHALLESİ DUMANKAYA İKON RESİDENCE 1+1 FULL EŞYALI  SATILIK DAİRE,P83704256,2025-02-13,İstanbul,Ataşehir, Örnek,5000000,55,45,10-15,1+1,32,Merkezi,Evet,https://www.remax.com.tr/portfoy/P83704256
TUZLA MİMAR SİNAN MAHALLESİ KİPTAŞ SATILIK 2+1 DAİRE,P46155454,2025-02-13,İstanbul,Tuzla, Mimar Sinan,3500000,98,85,16-20,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P46155454
Maltepe'de merkezi yerde yeni binada 4+2 dubleks daire,P51306857,2025-02-13,İstanbul,Maltepe, Altıntepe,9350000,148,120,8,4+2,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P51306857
EMAAR'A KOMŞU CADDE ÜSTÜ GENIŞ 3+1 DAIRE,P01033535,2025-02-13,İstanbul,Ataşehir, Fetih,5750000,145,120,26-30,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P01033535
YATIRIM İÇİN UYGUN - BU FİYATA HER ZAMAN BULAMAZSINIZ,P33664505,2025-02-13,İstanbul,Kadıköy, Göztepe,8000000,140,105,30+,3+1,3,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P33664505
AKASYA ACIBADEM SİTESİNİN EN ÖZEL BAHÇE KATI,P08322466,2025-02-13,İstanbul,Üsküdar, Acıbadem,15750000,117,85,10-15,1.5+1,Bahçe Katı,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P08322466
AKASYA ACIBADEM GÖL KULEDE 200 M2 ÖZEL DUBLEKS,P46122315,2025-02-13,İstanbul,Üsküdar, Acıbadem,28750000,200,170,10-15,3.5+1,32,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P46122315
MALTEPE ALTAYÇEŞME'DE GENİŞ VE FERAH 3+1 SATILIK DAİRE,P40255644,2025-02-13,İstanbul,Maltepe, Altayçeşme,6200000,150,140,21-25,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P40255644
NB TEAM MALTEPE FEYZULLAH MAH. MARMARAYA YÜRÜME MESAFESİNDE SATILIK 4+2 DUBLEKS,P45574442,2025-02-13,İstanbul,Maltepe, Yalı,8500000,155,140,1,4+2,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P45574442
PENDİK AHMETYESEVİ 3+1 CADDE CEPHE SATILIK DAİRE,P85715684,2025-02-13,İstanbul,Pendik, Ahmet Yesevi,4850000,125,115,1,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P85715684
